Game Date,Home Days Since Last Game,Home Games Last 7 Days,Home Is Back-to-Back,Away Days Since Last Game,Away Games Last 7 Days,Away Is Back-to-Back,Away Team Recent 10 Win Rate,Home Team Recent 10 Win Rate,Home Team Recent 3 Months Win Rate,Away Team Recent 3 Months Win Rate,game_id,pts_home,reb_home,ast_home,plus_minus_home,pts_away,reb_away,ast_away,plus_minus_away
2000-01-02,5.0,1,False,3.0,1,False,0.4,0.7,0.7692307692307693,0.4375,29900423,111.0,45.0,22.0,8,103.0,63.0,17.0,-8
2000-01-03,5.0,2,False,5.0,1,False,0.6,0.4,0.4615384615384615,0.6666666666666666,29900427,106.0,46.0,21.0,-12,118.0,48.0,30.0,12
2000-01-03,4.0,1,False,8.0,0,False,0.8,0.4,0.3571428571428571,0.7857142857142857,29900426,99.0,42.0,25.0,12,87.0,35.0,25.0,-12
2000-01-03,5.0,2,False,11.0,0,False,0.7,0.8,0.7857142857142857,0.75,29900429,109.0,39.0,33.0,20,89.0,38.0,21.0,-20
2000-01-03,5.0,2,False,13.0,0,False,0.3,0.2,0.1666666666666666,0.25,29900428,63.0,43.0,19.0,-25,88.0,39.0,30.0,25
2000-01-03,14.0,0,False,5.0,1,False,0.4,0.7,0.6,0.5,29900425,124.0,39.0,31.0,4,120.0,46.0,23.0,-4
2000-01-03,12.0,0,False,4.0,1,False,0.9,0.6,0.6666666666666666,0.8333333333333334,29900424,105.0,48.0,23.0,7,98.0,38.0,21.0,-7
2000-01-04,14.0,0,False,1.0,1,True,0.3,0.6,0.6,0.2352941176470588,29900432,90.0,34.0,19.0,-24,114.0,44.0,24.0,24
2000-01-04,5.0,1,False,5.0,1,False,0.5,0.5,0.5714285714285714,0.4705882352941176,29900436,91.0,45.0,30.0,3,88.0,42.0,23.0,-3
2000-01-04,9.0,0,False,15.0,0,False,0.2,0.5,0.4285714285714285,0.2307692307692307,29900440,98.0,52.0,15.0,-24,122.0,59.0,23.0,24
2000-01-04,6.0,1,False,6.0,1,False,0.6,0.5,0.5882352941176471,0.5714285714285714,29900433,107.0,42.0,34.0,-4,111.0,42.0,32.0,4
2000-01-04,9.0,0,False,5.0,1,False,0.5,0.8,0.8235294117647058,0.6428571428571429,29900439,86.0,56.0,24.0,6,80.0,47.0,14.0,-6
2000-01-04,13.0,0,False,5.0,2,False,0.9,0.7,0.75,0.8461538461538461,29900430,96.0,36.0,15.0,8,88.0,36.0,11.0,-8
2000-01-04,5.0,1,False,14.0,0,False,0.8,0.9,0.8571428571428571,0.8333333333333334,29900434,116.0,41.0,29.0,5,111.0,30.0,19.0,-5
2000-01-04,5.0,2,False,7.0,1,False,0.5,0.6,0.4,0.4666666666666667,29900437,96.0,48.0,22.0,-7,103.0,48.0,26.0,7
2000-01-04,5.0,1,False,5.0,1,False,0.8,0.5,0.6428571428571429,0.8571428571428571,29900435,116.0,34.0,33.0,3,113.0,35.0,23.0,-3
2000-01-04,5.0,2,False,8.0,0,False,0.7,0.8,0.75,0.7647058823529411,29900438,98.0,48.0,29.0,2,96.0,39.0,22.0,-2
2000-01-04,2.0,2,False,6.0,1,False,0.9,0.8,0.7857142857142857,0.9230769230769232,29900431,87.0,39.0,24.0,-4,91.0,48.0,14.0,4
2000-01-05,7.0,1,False,2.0,2,False,0.6,0.6,0.6,0.625,29900443,108.0,29.0,23.0,-12,120.0,38.0,23.0,12
2000-01-05,2.0,2,False,1.0,2,True,0.6,0.8,0.8,0.6666666666666666,29900446,118.0,42.0,37.0,22,96.0,32.0,17.0,-22
