game_id,pts_home,reb_home,ast_home,plus_minus_home,pts_away,reb_away,ast_away,plus_minus_away
24600001,66.0,,,-2,68.0,,,2
24600003,56.0,,,5,51.0,,,-5
24600002,59.0,,,6,53.0,,,-6
24600004,63.0,,,16,47.0,,,-16
24600005,33.0,,,-17,50.0,,,17
24600006,71.0,,,11,60.0,,,-11
24600007,56.0,,,-15,71.0,,,15
24600008,55.0,,,-2,57.0,,,2
24600009,49.0,,,-4,53.0,,,4
24600011,73.0,,,8,65.0,,,-8
24600012,63.0,,,-5,68.0,,,5
24600010,81.0,,,6,75.0,,,-6
24600013,73.0,,,2,71.0,,,-2
24600014,70.0,,,1,69.0,,,-1
24600015,76.0,,,10,66.0,,,-10
24600016,64.0,,,10,54.0,,,-10
24600017,69.0,,,23,46.0,,,-23
24600018,92.0,,,24,68.0,,,-24
24600020,68.0,,,-10,78.0,,,10
24600019,84.0,,,13,71.0,,,-13
24600022,71.0,,,10,61.0,,,-10
24600021,68.0,,,-2,70.0,,,2
24600024,64.0,,,2,62.0,,,-2
24600023,68.0,,,3,65.0,,,-3
24600025,85.0,,,17,68.0,,,-17
24600027,65.0,,,-8,73.0,,,8
24600029,59.0,,,-11,70.0,,,11
24600030,53.0,,,4,49.0,,,-4
24600026,83.0,,,9,74.0,,,-9
24600028,64.0,,,2,62.0,,,-2
24600031,76.0,,,-2,78.0,,,2
24600032,61.0,,,4,57.0,,,-4
24600033,54.0,,,6,48.0,,,-6
24600034,72.0,,,-2,74.0,,,2
24600035,63.0,,,-3,66.0,,,3
24600038,54.0,,,3,51.0,,,-3
24600037,53.0,,,-1,54.0,,,1
24600036,72.0,,,3,69.0,,,-3
24600041,53.0,,,-12,65.0,,,12
24600039,63.0,,,-2,65.0,,,2
24600040,58.0,,,-8,66.0,,,8
24600042,83.0,,,1,82.0,,,-1
24600046,54.0,,,8,46.0,,,-8
24600045,74.0,,,24,50.0,,,-24
24600043,82.0,,,6,76.0,,,-6
24600044,59.0,,,-6,65.0,,,6
24600048,55.0,,,-13,68.0,,,13
24600047,62.0,,,2,60.0,,,-2
24600049,59.0,,,-12,71.0,,,12
24600050,46.0,,,-16,62.0,,,16
24600053,66.0,,,20,46.0,,,-20
24600052,66.0,,,12,54.0,,,-12
24600051,68.0,,,-10,78.0,,,10
24600054,75.0,,,8,67.0,,,-8
24600055,62.0,,,2,60.0,,,-2
24600056,67.0,,,7,60.0,,,-7
24600057,72.0,,,-3,75.0,,,3
24600058,58.0,,,-2,60.0,,,2
24600059,59.0,,,4,55.0,,,-4
24600060,55.0,,,-13,68.0,,,13
24600061,72.0,,,-15,87.0,,,15
24600064,60.0,,,3,57.0,,,-3
24600063,64.0,,,4,60.0,,,-4
24600065,49.0,,,9,40.0,,,-9
24600062,79.0,,,14,65.0,,,-14
24600066,66.0,,,10,56.0,,,-10
24600067,49.0,,,2,47.0,,,-2
24600068,44.0,,,-2,46.0,,,2
24600069,76.0,,,8,68.0,,,-8
24600070,80.0,,,18,62.0,,,-18
24600071,70.0,,,13,57.0,,,-13
24600072,46.0,,,-11,57.0,,,11
24600075,66.0,,,11,55.0,,,-11
24600074,61.0,,,-4,65.0,,,4
24600073,61.0,,,-4,65.0,,,4
24600076,62.0,,,11,51.0,,,-11
24600077,86.0,,,8,78.0,,,-8
24600080,59.0,,,-9,68.0,,,9
24600081,47.0,,,-10,57.0,,,10
24600078,65.0,,,-25,90.0,,,25
24600079,75.0,,,11,64.0,,,-11
24600083,62.0,,,18,44.0,,,-18
24600082,72.0,,,6,66.0,,,-6
24600084,58.0,,,-8,66.0,,,8
24600086,61.0,,,-1,62.0,,,1
24600085,73.0,,,-12,85.0,,,12
24600088,83.0,,,15,68.0,,,-15
24600087,88.0,,,9,79.0,,,-9
24600089,81.0,,,15,66.0,,,-15
24600091,73.0,,,7,66.0,,,-7
24600092,49.0,,,-15,64.0,,,15
24600090,68.0,,,-20,88.0,,,20
24600093,52.0,,,-10,62.0,,,10
24600096,72.0,,,20,52.0,,,-20
24600094,81.0,,,15,66.0,,,-15
24600095,77.0,,,12,65.0,,,-12
24600099,46.0,,,-4,50.0,,,4
24600098,70.0,,,18,52.0,,,-18
24600097,84.0,,,9,75.0,,,-9
24600100,55.0,,,-11,66.0,,,11
24600101,78.0,,,16,62.0,,,-16
24600102,57.0,,,8,49.0,,,-8
24600103,53.0,,,-3,56.0,,,3
24600104,68.0,,,21,47.0,,,-21
24600107,58.0,,,14,44.0,,,-14
24600106,74.0,,,-2,76.0,,,2
24600105,81.0,,,4,77.0,,,-4
24600108,74.0,,,4,70.0,,,-4
24600109,63.0,,,2,61.0,,,-2
24600110,68.0,,,12,56.0,,,-12
24600111,95.0,,,3,92.0,,,-3
24600112,74.0,,,-4,78.0,,,4
24600113,65.0,,,12,53.0,,,-12
24600114,64.0,,,10,54.0,,,-10
24600115,66.0,,,-12,78.0,,,12
24600116,55.0,,,4,51.0,,,-4
24600117,53.0,,,7,46.0,,,-7
24600118,80.0,,,-8,88.0,,,8
24600119,60.0,,,-3,63.0,,,3
24600121,70.0,,,21,49.0,,,-21
24600120,80.0,,,12,68.0,,,-12
24600124,48.0,,,-4,52.0,,,4
24600123,75.0,,,7,68.0,,,-7
24600122,79.0,,,-8,87.0,,,8
24600125,60.0,,,-2,62.0,,,2
24600126,60.0,,,-10,70.0,,,10
24600128,59.0,,,-9,68.0,,,9
24600127,87.0,,,11,76.0,,,-11
24600131,48.0,,,-13,61.0,,,13
24600130,62.0,,,5,57.0,,,-5
24600129,90.0,,,-13,103.0,,,13
24600132,84.0,,,12,72.0,,,-12
24600133,66.0,,,9,57.0,,,-9
24600134,53.0,,,-5,58.0,,,5
24600137,50.0,,,-12,62.0,,,12
24600136,78.0,,,14,64.0,,,-14
24600135,78.0,,,4,74.0,,,-4
24600138,57.0,,,-2,59.0,,,2
24600141,49.0,,,-14,63.0,,,14
24600140,53.0,,,-11,64.0,,,11
24600139,76.0,,,15,61.0,,,-15
24600143,77.0,,,8,69.0,,,-8
24600144,67.0,,,4,63.0,,,-4
24600145,63.0,,,-13,76.0,,,13
24600142,80.0,,,-3,83.0,,,3
24600148,74.0,,,19,55.0,,,-19
24600147,91.0,,,23,68.0,,,-23
24600146,84.0,,,3,81.0,,,-3
24600149,66.0,,,4,62.0,,,-4
24600150,72.0,,,-1,73.0,,,1
24600151,81.0,,,15,66.0,,,-15
24600152,58.0,,,2,56.0,,,-2
24600153,75.0,,,3,72.0,,,-3
24600154,72.0,,,13,59.0,,,-13
24600155,50.0,,,-3,53.0,,,3
24600157,74.0,,,-30,104.0,,,30
24600156,74.0,,,-4,78.0,,,4
24600158,63.0,,,-2,65.0,,,2
24600159,68.0,,,9,59.0,,,-9
